detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.0001}",5,0,30,0.0,0.0,0.0,0.0,,0.01666494462238902,0.01666494462238902,30,5
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.0001}",7,6,24,0.46153846153846156,0.2,0.2,0.27906976744186046,-423.1666666666667,0.023330922471344627,0.04332885601821145,30,13
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",4,0,30,0.0,0.0,0.0,0.0,,0.013331955697911214,0.013331955697911214,30,4
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",10,3,27,0.23076923076923078,0.1,0.1,0.13953488372093023,-534.6666666666666,0.03332988924477804,0.04332885601821145,30,13
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",26,7,23,0.21212121212121213,0.23333333333333334,0.23333333333333334,0.22222222222222224,-555.7142857142857,0.0866577120364229,0.10998863450776752,30,33
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.001}",6,1,29,0.14285714285714285,0.03333333333333333,0.03333333333333333,0.05405405405405406,71.0,0.01999793354686682,0.023330922471344627,30,7
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.001}",12,2,28,0.14285714285714285,0.06666666666666667,0.06666666666666667,0.09090909090909091,-287.0,0.03999586709373364,0.046661844942689254,30,14
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.001}",29,10,20,0.2564102564102564,0.3333333333333333,0.3333333333333333,0.2898550724637681,-230.9,0.09665667880985632,0.12998656805463435,30,39
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 500, 'lambda_': 50, 'delta': 0.0001}",14,2,28,0.125,0.06666666666666667,0.06666666666666667,0.08695652173913045,-43.5,0.046661844942689254,0.05332782279164486,30,16
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 500, 'lambda_': 50, 'delta': 0.0001}",28,7,23,0.2,0.23333333333333334,0.23333333333333334,0.2153846153846154,173.14285714285714,0.09332368988537851,0.11665461235672313,30,35
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 500, 'lambda_': 50, 'delta': 0.0001}",63,13,17,0.17105263157894737,0.43333333333333335,0.43333333333333335,0.24528301886792456,-425.6923076923077,0.20997830224210165,0.2533071582603131,30,76
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 100, 'lambda_': 150, 'delta': 0.0001}",7,0,30,0.0,0.0,0.0,0.0,,0.023330922471344627,0.023330922471344627,30,7
